feature,importance
resp_fuids_FLfTye2yzd2LIe8Wnl,3.0977273340769095e-11
resp_fuids_FH5WD92YA9MZaYlrLl,2.4197644199360872e-11
history_SADhacfgF,1.2850265093173413e-11
history_ShADTaFTcR,1.0730699215119796e-11
resp_fuids_FaDNEb4I73HwNQejQe,9.61011830246856e-12
resp_fuids_FKxR9x2sB8AFloJtph,6.940020011832384e-12
history_ShADTadR,6.216703563416768e-12
resp_fuids_FZzfWZ2BP0b5UY8UAd,4.930351313497207e-12
resp_fuids_FBu5Dz4s1W1OE9OD95,4.64299864280131e-12
history_ShADTaFcRd,4.221560399878097e-12
resp_fuids_FKH2xg1Luy7acSka68,4.179548496847328e-12
resp_fuids_FfRdJV1JEqqUzVocwb,3.926857385886503e-12
resp_fuids_Fc6bjq1OV30Oxij8b3,3.7799105364589925e-12
resp_fuids_FSfZXF4E518qO8A0Rh,3.6636283850707415e-12
resp_fuids_FMSUag2CKvyUnkqBy1,3.615243922615946e-12
resp_fuids_FtAKIc4jnqD7U3u2Ue,2.965120658737781e-12
resp_fuids_FIKPvX3yj5kakerw6,2.2333116305015912e-12
resp_fuids_FPtC4a1W9doig9g7wi,2.1179414432903978e-12
resp_fuids_FCF8FX1VGnzUnZYk36,1.6940973393374328e-12
resp_fuids_F3uRql3jTc5GDe45B,1.2267549195223003e-12
resp_fuids_FhHiovuKCuQ2umGVl,8.929569967295618e-13
resp_fuids_FN7Eip3uCre6650Sgj,8.807966244971113e-13
resp_fuids_F45ZSu2oPwbvAu4rM7,6.273620088912489e-13
history_ShAaGDcgdfR,5.111824487590252e-13
resp_fuids_FglmjO17N61piQ0Yqg,5.104208632814553e-13
history_ShADagFcf,4.623792318269441e-13
resp_fuids_FIBkGx3NUJ1jM998y9,1.9466408796439084e-13
history_ShADaFcRf,1.7334016321076934e-13
resp_fuids_FEsOhn4DBIWxdRQ4ph,1.2737307265623028e-13
history_ShADaFRcd,1.253923476641874e-13
resp_fuids_FVBluN2xOroZcVwryh,5.2052633173244005e-14
history_ShADTFaTcdfR,5.1971693177374406e-14
resp_fuids_FEIdue46KmTPz8i9E5,3.668039520844848e-14
resp_fuids_FvfeKaViR0yBPLaP,3.186576694761835e-14
orig_fuids_FyITg52gWnszi9cjid,2.4900843903482334e-14
resp_fuids_FnkwMb2MJmgsIAFGN4,1.6970454564730148e-14
resp_fuids_FHh4od2XMsFCQDzOsh,1.493051026175012e-14
history_ShADaFcRd,1.4655933059693872e-14
resp_fuids_FpuoSuA8NrTnNcVh9,1.270827901326396e-14
resp_fuids_F4TsUB1LvUHfIGpRre,9.815333874678745e-15
resp_fuids_FrNJ6c4yqVlHJNwKXa,4.3984759057966955e-15
resp_fuids_FIAa9E1K2WqihkGDn3,3.2490857063612332e-15
resp_fuids_FJah533kJ2jvpXKrOk,1.4352937851864652e-15
